index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
796,England,Cardiff,Liverpool,21.04. 15:00,Premier League,2018/2019,0-2,2019-04-21 15:00:00,2,0,away
797,England,Everton,Manchester Utd,21.04. 12:30,Premier League,2018/2019,4-0,2019-04-21 12:30:00,0,4,home
798,England,Newcastle,Southampton,20.04. 16:30,Premier League,2018/2019,3-1,2019-04-20 16:30:00,1,3,home
799,England,Bournemouth,Fulham,20.04. 14:00,Premier League,2018/2019,0-1,2019-04-20 14:00:00,1,0,away
800,England,Huddersfield,Watford,20.04. 14:00,Premier League,2018/2019,1-2,2019-04-20 14:00:00,2,1,away
801,England,West Ham,Leicester,20.04. 14:00,Premier League,2018/2019,2-2,2019-04-20 14:00:00,2,2,draw
802,England,Wolves,Brighton,20.04. 14:00,Premier League,2018/2019,0-0,2019-04-20 14:00:00,0,0,draw
803,England,Manchester City,Tottenham,20.04. 11:30,Premier League,2018/2019,1-0,2019-04-20 11:30:00,0,1,home
804,England,Brighton,Cardiff,16.04. 18:45,Premier League,2018/2019,0-2,2019-04-16 18:45:00,2,0,away
805,England,Watford,Arsenal,15.04. 19:00,Premier League,2018/2019,0-1,2019-04-15 19:00:00,1,0,away
806,England,Liverpool,Chelsea,14.04. 15:30,Premier League,2018/2019,2-0,2019-04-14 15:30:00,0,2,home
807,England,Crystal Palace,Manchester City,14.04. 13:05,Premier League,2018/2019,1-3,2019-04-14 13:05:00,3,1,away
808,England,Manchester Utd,West Ham,13.04. 16:30,Premier League,2018/2019,2-1,2019-04-13 16:30:00,1,2,home
809,England,Brighton,Bournemouth,13.04. 14:00,Premier League,2018/2019,0-5,2019-04-13 14:00:00,5,0,away
810,England,Burnley,Cardiff,13.04. 14:00,Premier League,2018/2019,2-0,2019-04-13 14:00:00,0,2,home
811,England,Fulham,Everton,13.04. 14:00,Premier League,2018/2019,2-0,2019-04-13 14:00:00,0,2,home
812,England,Southampton,Wolves,13.04. 14:00,Premier League,2018/2019,3-1,2019-04-13 14:00:00,1,3,home
813,England,Tottenham,Huddersfield,13.04. 11:30,Premier League,2018/2019,4-0,2019-04-13 11:30:00,0,4,home
814,England,Leicester,Newcastle,12.04. 19:00,Premier League,2018/2019,0-1,2019-04-12 19:00:00,1,0,away
815,England,Chelsea,West Ham,08.04. 19:00,Premier League,2018/2019,2-0,2019-04-08 19:00:00,0,2,home
816,England,Everton,Arsenal,07.04. 13:05,Premier League,2018/2019,1-0,2019-04-07 13:05:00,0,1,home
817,England,Bournemouth,Burnley,06.04. 14:00,Premier League,2018/2019,1-3,2019-04-06 14:00:00,3,1,away
818,England,Huddersfield,Leicester,06.04. 14:00,Premier League,2018/2019,1-4,2019-04-06 14:00:00,4,1,away
819,England,Newcastle,Crystal Palace,06.04. 14:00,Premier League,2018/2019,0-1,2019-04-06 14:00:00,1,0,away
820,England,Southampton,Liverpool,05.04. 19:00,Premier League,2018/2019,1-3,2019-04-05 19:00:00,3,1,away
821,England,Chelsea,Brighton,03.04. 18:45,Premier League,2018/2019,3-0,2019-04-03 18:45:00,0,3,home
822,England,Manchester City,Cardiff,03.04. 18:45,Premier League,2018/2019,2-0,2019-04-03 18:45:00,0,2,home
823,England,Tottenham,Crystal Palace,03.04. 18:45,Premier League,2018/2019,2-0,2019-04-03 18:45:00,0,2,home
824,England,Watford,Fulham,02.04. 18:45,Premier League,2018/2019,4-1,2019-04-02 18:45:00,1,4,home
825,England,Wolves,Manchester Utd,02.04. 18:45,Premier League,2018/2019,2-1,2019-04-02 18:45:00,1,2,home
826,England,Arsenal,Newcastle,01.04. 19:00,Premier League,2018/2019,2-0,2019-04-01 19:00:00,0,2,home
827,England,Liverpool,Tottenham,31.03. 15:30,Premier League,2018/2019,2-1,2019-03-31 15:30:00,1,2,home
828,England,Cardiff,Chelsea,31.03. 13:05,Premier League,2018/2019,1-2,2019-03-31 13:05:00,2,1,away
829,England,West Ham,Everton,30.03. 17:30,Premier League,2018/2019,0-2,2019-03-30 17:30:00,2,0,away
830,England,Brighton,Southampton,30.03. 15:00,Premier League,2018/2019,0-1,2019-03-30 15:00:00,1,0,away
831,England,Burnley,Wolves,30.03. 15:00,Premier League,2018/2019,2-0,2019-03-30 15:00:00,0,2,home
832,England,Crystal Palace,Huddersfield,30.03. 15:00,Premier League,2018/2019,2-0,2019-03-30 15:00:00,0,2,home
833,England,Leicester,Bournemouth,30.03. 15:00,Premier League,2018/2019,2-0,2019-03-30 15:00:00,0,2,home
834,England,Manchester Utd,Watford,30.03. 15:00,Premier League,2018/2019,2-1,2019-03-30 15:00:00,1,2,home
835,England,Fulham,Manchester City,30.03. 12:30,Premier League,2018/2019,0-2,2019-03-30 12:30:00,2,0,away
836,England,Everton,Chelsea,17.03. 16:30,Premier League,2018/2019,2-0,2019-03-17 16:30:00,0,2,home
837,England,Fulham,Liverpool,17.03. 14:15,Premier League,2018/2019,1-2,2019-03-17 14:15:00,2,1,away
838,England,Bournemouth,Newcastle,16.03. 15:00,Premier League,2018/2019,2-2,2019-03-16 15:00:00,2,2,draw
839,England,Burnley,Leicester,16.03. 15:00,Premier League,2018/2019,1-2,2019-03-16 15:00:00,2,1,away
840,England,West Ham,Huddersfield,16.03. 15:00,Premier League,2018/2019,4-3,2019-03-16 15:00:00,3,4,home
841,England,Arsenal,Manchester Utd,10.03. 16:30,Premier League,2018/2019,2-0,2019-03-10 16:30:00,0,2,home
842,England,Chelsea,Wolves,10.03. 14:05,Premier League,2018/2019,1-1,2019-03-10 14:05:00,1,1,draw
843,England,Liverpool,Burnley,10.03. 12:00,Premier League,2018/2019,4-2,2019-03-10 12:00:00,2,4,home
844,England,Manchester City,Watford,09.03. 17:30,Premier League,2018/2019,3-1,2019-03-09 17:30:00,1,3,home
845,England,Cardiff,West Ham,09.03. 15:00,Premier League,2018/2019,2-0,2019-03-09 15:00:00,0,2,home
846,England,Huddersfield,Bournemouth,09.03. 15:00,Premier League,2018/2019,0-2,2019-03-09 15:00:00,2,0,away
847,England,Leicester,Fulham,09.03. 15:00,Premier League,2018/2019,3-1,2019-03-09 15:00:00,1,3,home
848,England,Newcastle,Everton,09.03. 15:00,Premier League,2018/2019,3-2,2019-03-09 15:00:00,2,3,home
849,England,Southampton,Tottenham,09.03. 15:00,Premier League,2018/2019,2-1,2019-03-09 15:00:00,1,2,home
850,England,Crystal Palace,Brighton,09.03. 12:30,Premier League,2018/2019,1-2,2019-03-09 12:30:00,2,1,away
851,England,Everton,Liverpool,03.03. 16:15,Premier League,2018/2019,0-0,2019-03-03 16:15:00,0,0,draw
852,England,Fulham,Chelsea,03.03. 14:05,Premier League,2018/2019,1-2,2019-03-03 14:05:00,2,1,away
853,England,Watford,Leicester,03.03. 12:00,Premier League,2018/2019,2-1,2019-03-03 12:00:00,1,2,home
854,England,West Ham,Newcastle,02.03. 17:30,Premier League,2018/2019,2-0,2019-03-02 17:30:00,0,2,home
855,England,Bournemouth,Manchester City,02.03. 15:00,Premier League,2018/2019,0-1,2019-03-02 15:00:00,1,0,away
856,England,Brighton,Huddersfield,02.03. 15:00,Premier League,2018/2019,1-0,2019-03-02 15:00:00,0,1,home
857,England,Burnley,Crystal Palace,02.03. 15:00,Premier League,2018/2019,1-3,2019-03-02 15:00:00,3,1,away
858,England,Manchester Utd,Southampton,02.03. 15:00,Premier League,2018/2019,3-2,2019-03-02 15:00:00,2,3,home
859,England,Wolves,Cardiff,02.03. 15:00,Premier League,2018/2019,2-0,2019-03-02 15:00:00,0,2,home
860,England,Tottenham,Arsenal,02.03. 12:30,Premier League,2018/2019,1-1,2019-03-02 12:30:00,1,1,draw
861,England,Chelsea,Tottenham,27.02. 20:00,Premier League,2018/2019,2-0,2019-02-27 20:00:00,0,2,home
862,England,Crystal Palace,Manchester Utd,27.02. 20:00,Premier League,2018/2019,1-3,2019-02-27 20:00:00,3,1,away
863,England,Liverpool,Watford,27.02. 20:00,Premier League,2018/2019,5-0,2019-02-27 20:00:00,0,5,home
864,England,Manchester City,West Ham,27.02. 20:00,Premier League,2018/2019,1-0,2019-02-27 20:00:00,0,1,home
865,England,Arsenal,Bournemouth,27.02. 19:45,Premier League,2018/2019,5-1,2019-02-27 19:45:00,1,5,home
866,England,Southampton,Fulham,27.02. 19:45,Premier League,2018/2019,2-0,2019-02-27 19:45:00,0,2,home
867,England,Newcastle,Burnley,26.02. 20:00,Premier League,2018/2019,2-0,2019-02-26 20:00:00,0,2,home
868,England,Cardiff,Everton,26.02. 19:45,Premier League,2018/2019,0-3,2019-02-26 19:45:00,3,0,away
869,England,Huddersfield,Wolves,26.02. 19:45,Premier League,2018/2019,1-0,2019-02-26 19:45:00,0,1,home
870,England,Leicester,Brighton,26.02. 19:45,Premier League,2018/2019,2-1,2019-02-26 19:45:00,1,2,home
871,England,Arsenal,Southampton,24.02. 14:05,Premier League,2018/2019,2-0,2019-02-24 14:05:00,0,2,home
872,England,Manchester Utd,Liverpool,24.02. 14:05,Premier League,2018/2019,0-0,2019-02-24 14:05:00,0,0,draw
873,England,Leicester,Crystal Palace,23.02. 17:30,Premier League,2018/2019,1-4,2019-02-23 17:30:00,4,1,away
874,England,Bournemouth,Wolves,23.02. 15:00,Premier League,2018/2019,1-1,2019-02-23 15:00:00,1,1,draw
875,England,Newcastle,Huddersfield,23.02. 15:00,Premier League,2018/2019,2-0,2019-02-23 15:00:00,0,2,home
876,England,Burnley,Tottenham,23.02. 12:30,Premier League,2018/2019,2-1,2019-02-23 12:30:00,1,2,home
877,England,Cardiff,Watford,22.02. 19:45,Premier League,2018/2019,1-5,2019-02-22 19:45:00,5,1,away
878,England,West Ham,Fulham,22.02. 19:45,Premier League,2018/2019,3-1,2019-02-22 19:45:00,1,3,home
879,England,Wolves,Newcastle,11.02. 20:00,Premier League,2018/2019,1-1,2019-02-11 20:00:00,1,1,draw
880,England,Manchester City,Chelsea,10.02. 16:00,Premier League,2018/2019,6-0,2019-02-10 16:00:00,0,6,home
881,England,Tottenham,Leicester,10.02. 13:30,Premier League,2018/2019,3-1,2019-02-10 13:30:00,1,3,home
882,England,Brighton,Burnley,09.02. 17:30,Premier League,2018/2019,1-3,2019-02-09 17:30:00,3,1,away
883,England,Crystal Palace,West Ham,09.02. 15:00,Premier League,2018/2019,1-1,2019-02-09 15:00:00,1,1,draw
884,England,Huddersfield,Arsenal,09.02. 15:00,Premier League,2018/2019,1-2,2019-02-09 15:00:00,2,1,away
885,England,Liverpool,Bournemouth,09.02. 15:00,Premier League,2018/2019,3-0,2019-02-09 15:00:00,0,3,home
886,England,Southampton,Cardiff,09.02. 15:00,Premier League,2018/2019,1-2,2019-02-09 15:00:00,2,1,away
887,England,Watford,Everton,09.02. 15:00,Premier League,2018/2019,1-0,2019-02-09 15:00:00,0,1,home
888,England,Fulham,Manchester Utd,09.02. 12:30,Premier League,2018/2019,0-3,2019-02-09 12:30:00,3,0,away
889,England,Everton,Manchester City,06.02. 19:45,Premier League,2018/2019,0-2,2019-02-06 19:45:00,2,0,away
890,England,West Ham,Liverpool,04.02. 20:00,Premier League,2018/2019,1-1,2019-02-04 20:00:00,1,1,draw
891,England,Manchester City,Arsenal,03.02. 16:30,Premier League,2018/2019,3-1,2019-02-03 16:30:00,1,3,home
892,England,Leicester,Manchester Utd,03.02. 14:05,Premier League,2018/2019,0-1,2019-02-03 14:05:00,1,0,away
893,England,Cardiff,Bournemouth,02.02. 17:30,Premier League,2018/2019,2-0,2019-02-02 17:30:00,0,2,home
894,England,Brighton,Watford,02.02. 15:00,Premier League,2018/2019,0-0,2019-02-02 15:00:00,0,0,draw
895,England,Burnley,Southampton,02.02. 15:00,Premier League,2018/2019,1-1,2019-02-02 15:00:00,1,1,draw
896,England,Chelsea,Huddersfield,02.02. 15:00,Premier League,2018/2019,5-0,2019-02-02 15:00:00,0,5,home
897,England,Crystal Palace,Fulham,02.02. 15:00,Premier League,2018/2019,2-0,2019-02-02 15:00:00,0,2,home
898,England,Everton,Wolves,02.02. 15:00,Premier League,2018/2019,1-3,2019-02-02 15:00:00,3,1,away
899,England,Tottenham,Newcastle,02.02. 12:30,Premier League,2018/2019,1-0,2019-02-02 12:30:00,0,1,home
900,England,Liverpool,Leicester,30.01. 20:00,Premier League,2018/2019,1-1,2019-01-30 20:00:00,1,1,draw
901,England,Tottenham,Watford,30.01. 20:00,Premier League,2018/2019,2-1,2019-01-30 20:00:00,1,2,home
902,England,Bournemouth,Chelsea,30.01. 19:45,Premier League,2018/2019,4-0,2019-01-30 19:45:00,0,4,home
903,England,Southampton,Crystal Palace,30.01. 19:45,Premier League,2018/2019,1-1,2019-01-30 19:45:00,1,1,draw
904,England,Manchester Utd,Burnley,29.01. 20:00,Premier League,2018/2019,2-2,2019-01-29 20:00:00,2,2,draw
905,England,Newcastle,Manchester City,29.01. 20:00,Premier League,2018/2019,2-1,2019-01-29 20:00:00,1,2,home
906,England,Arsenal,Cardiff,29.01. 19:45,Premier League,2018/2019,2-1,2019-01-29 19:45:00,1,2,home
907,England,Fulham,Brighton,29.01. 19:45,Premier League,2018/2019,4-2,2019-01-29 19:45:00,2,4,home
908,England,Huddersfield,Everton,29.01. 19:45,Premier League,2018/2019,0-1,2019-01-29 19:45:00,1,0,away
909,England,Wolves,West Ham,29.01. 19:45,Premier League,2018/2019,3-0,2019-01-29 19:45:00,0,3,home
910,England,Fulham,Tottenham,20.01. 16:00,Premier League,2018/2019,1-2,2019-01-20 16:00:00,2,1,away
911,England,Huddersfield,Manchester City,20.01. 13:30,Premier League,2018/2019,0-3,2019-01-20 13:30:00,3,0,away
912,England,Arsenal,Chelsea,19.01. 17:30,Premier League,2018/2019,2-0,2019-01-19 17:30:00,0,2,home
913,England,Bournemouth,West Ham,19.01. 15:00,Premier League,2018/2019,2-0,2019-01-19 15:00:00,0,2,home
914,England,Liverpool,Crystal Palace,19.01. 15:00,Premier League,2018/2019,4-3,2019-01-19 15:00:00,3,4,home
915,England,Manchester Utd,Brighton,19.01. 15:00,Premier League,2018/2019,2-1,2019-01-19 15:00:00,1,2,home
916,England,Newcastle,Cardiff,19.01. 15:00,Premier League,2018/2019,3-0,2019-01-19 15:00:00,0,3,home
917,England,Southampton,Everton,19.01. 15:00,Premier League,2018/2019,2-1,2019-01-19 15:00:00,1,2,home
918,England,Watford,Burnley,19.01. 15:00,Premier League,2018/2019,0-0,2019-01-19 15:00:00,0,0,draw
919,England,Wolves,Leicester,19.01. 12:30,Premier League,2018/2019,4-3,2019-01-19 12:30:00,3,4,home
920,England,Manchester City,Wolves,14.01. 20:00,Premier League,2018/2019,3-0,2019-01-14 20:00:00,0,3,home
921,England,Tottenham,Manchester Utd,13.01. 16:30,Premier League,2018/2019,0-1,2019-01-13 16:30:00,1,0,away
922,England,Everton,Bournemouth,13.01. 14:15,Premier League,2018/2019,2-0,2019-01-13 14:15:00,0,2,home
923,England,Chelsea,Newcastle,12.01. 17:30,Premier League,2018/2019,2-1,2019-01-12 17:30:00,1,2,home
924,England,Brighton,Liverpool,12.01. 15:00,Premier League,2018/2019,0-1,2019-01-12 15:00:00,1,0,away
925,England,Burnley,Fulham,12.01. 15:00,Premier League,2018/2019,2-1,2019-01-12 15:00:00,1,2,home
926,England,Cardiff,Huddersfield,12.01. 15:00,Premier League,2018/2019,0-0,2019-01-12 15:00:00,0,0,draw
927,England,Crystal Palace,Watford,12.01. 15:00,Premier League,2018/2019,1-2,2019-01-12 15:00:00,2,1,away
928,England,Leicester,Southampton,12.01. 15:00,Premier League,2018/2019,1-2,2019-01-12 15:00:00,2,1,away
929,England,West Ham,Arsenal,12.01. 12:30,Premier League,2018/2019,1-0,2019-01-12 12:30:00,0,1,home
930,England,Manchester City,Liverpool,03.01. 20:00,Premier League,2018/2019,2-1,2019-01-03 20:00:00,1,2,home
931,England,Newcastle,Manchester Utd,02.01. 20:00,Premier League,2018/2019,0-2,2019-01-02 20:00:00,2,0,away
932,England,Bournemouth,Watford,02.01. 19:45,Premier League,2018/2019,3-3,2019-01-02 19:45:00,3,3,draw
933,England,Chelsea,Southampton,02.01. 19:45,Premier League,2018/2019,0-0,2019-01-02 19:45:00,0,0,draw
934,England,Huddersfield,Burnley,02.01. 19:45,Premier League,2018/2019,1-2,2019-01-02 19:45:00,2,1,away
935,England,West Ham,Brighton,02.01. 19:45,Premier League,2018/2019,2-2,2019-01-02 19:45:00,2,2,draw
936,England,Wolves,Crystal Palace,02.01. 19:45,Premier League,2018/2019,0-2,2019-01-02 19:45:00,2,0,away
937,England,Cardiff,Tottenham,01.01. 17:30,Premier League,2018/2019,0-3,2019-01-01 17:30:00,3,0,away
938,England,Arsenal,Fulham,01.01. 15:00,Premier League,2018/2019,4-1,2019-01-01 15:00:00,1,4,home
939,England,Everton,Leicester,01.01. 12:30,Premier League,2018/2019,0-1,2019-01-01 12:30:00,1,0,away
940,England,Manchester Utd,Bournemouth,30.12. 16:30,Premier League,2018/2019,4-1,2018-12-30 16:30:00,1,4,home
941,England,Burnley,West Ham,30.12. 14:15,Premier League,2018/2019,2-0,2018-12-30 14:15:00,0,2,home
942,England,Southampton,Manchester City,30.12. 14:15,Premier League,2018/2019,1-3,2018-12-30 14:15:00,3,1,away
943,England,Crystal Palace,Chelsea,30.12. 12:00,Premier League,2018/2019,0-1,2018-12-30 12:00:00,1,0,away
944,England,Liverpool,Arsenal,29.12. 17:30,Premier League,2018/2019,5-1,2018-12-29 17:30:00,1,5,home
945,England,Brighton,Everton,29.12. 15:00,Premier League,2018/2019,1-0,2018-12-29 15:00:00,0,1,home
946,England,Fulham,Huddersfield,29.12. 15:00,Premier League,2018/2019,1-0,2018-12-29 15:00:00,0,1,home
947,England,Leicester,Cardiff,29.12. 15:00,Premier League,2018/2019,0-1,2018-12-29 15:00:00,1,0,away
948,England,Tottenham,Wolves,29.12. 15:00,Premier League,2018/2019,1-3,2018-12-29 15:00:00,3,1,away
949,England,Watford,Newcastle,29.12. 15:00,Premier League,2018/2019,1-1,2018-12-29 15:00:00,1,1,draw
950,England,Southampton,West Ham,27.12. 19:45,Premier League,2018/2019,1-2,2018-12-27 19:45:00,2,1,away
951,England,Watford,Chelsea,26.12. 19:30,Premier League,2018/2019,1-2,2018-12-26 19:30:00,2,1,away
952,England,Brighton,Arsenal,26.12. 17:15,Premier League,2018/2019,1-1,2018-12-26 17:15:00,1,1,draw
953,England,Burnley,Everton,26.12. 15:00,Premier League,2018/2019,1-5,2018-12-26 15:00:00,5,1,away
954,England,Crystal Palace,Cardiff,26.12. 15:00,Premier League,2018/2019,0-0,2018-12-26 15:00:00,0,0,draw
955,England,Leicester,Manchester City,26.12. 15:00,Premier League,2018/2019,2-1,2018-12-26 15:00:00,1,2,home
956,England,Liverpool,Newcastle,26.12. 15:00,Premier League,2018/2019,4-0,2018-12-26 15:00:00,0,4,home
957,England,Manchester Utd,Huddersfield,26.12. 15:00,Premier League,2018/2019,3-1,2018-12-26 15:00:00,1,3,home
958,England,Tottenham,Bournemouth,26.12. 15:00,Premier League,2018/2019,5-0,2018-12-26 15:00:00,0,5,home
959,England,Fulham,Wolves,26.12. 12:30,Premier League,2018/2019,1-1,2018-12-26 12:30:00,1,1,draw
960,England,Everton,Tottenham,23.12. 16:00,Premier League,2018/2019,2-6,2018-12-23 16:00:00,6,2,away
961,England,Cardiff,Manchester Utd,22.12. 17:30,Premier League,2018/2019,1-5,2018-12-22 17:30:00,5,1,away
962,England,Bournemouth,Brighton,22.12. 15:00,Premier League,2018/2019,2-0,2018-12-22 15:00:00,0,2,home
963,England,Chelsea,Leicester,22.12. 15:00,Premier League,2018/2019,0-1,2018-12-22 15:00:00,1,0,away
964,England,Huddersfield,Southampton,22.12. 15:00,Premier League,2018/2019,1-3,2018-12-22 15:00:00,3,1,away
965,England,Manchester City,Crystal Palace,22.12. 15:00,Premier League,2018/2019,2-3,2018-12-22 15:00:00,3,2,away
966,England,Newcastle,Fulham,22.12. 15:00,Premier League,2018/2019,0-0,2018-12-22 15:00:00,0,0,draw
967,England,West Ham,Watford,22.12. 15:00,Premier League,2018/2019,0-2,2018-12-22 15:00:00,2,0,away
968,England,Arsenal,Burnley,22.12. 12:30,Premier League,2018/2019,3-1,2018-12-22 12:30:00,1,3,home
969,England,Wolves,Liverpool,21.12. 20:00,Premier League,2018/2019,0-2,2018-12-21 20:00:00,2,0,away
970,England,Liverpool,Manchester Utd,16.12. 16:00,Premier League,2018/2019,3-1,2018-12-16 16:00:00,1,3,home
971,England,Brighton,Chelsea,16.12. 13:30,Premier League,2018/2019,1-2,2018-12-16 13:30:00,2,1,away
972,England,Southampton,Arsenal,16.12. 13:30,Premier League,2018/2019,3-2,2018-12-16 13:30:00,2,3,home
973,England,Fulham,West Ham,15.12. 17:30,Premier League,2018/2019,0-2,2018-12-15 17:30:00,2,0,away
974,England,Crystal Palace,Leicester,15.12. 15:00,Premier League,2018/2019,1-0,2018-12-15 15:00:00,0,1,home
975,England,Huddersfield,Newcastle,15.12. 15:00,Premier League,2018/2019,0-1,2018-12-15 15:00:00,1,0,away
976,England,Tottenham,Burnley,15.12. 15:00,Premier League,2018/2019,1-0,2018-12-15 15:00:00,0,1,home
977,England,Watford,Cardiff,15.12. 15:00,Premier League,2018/2019,3-2,2018-12-15 15:00:00,2,3,home
978,England,Wolves,Bournemouth,15.12. 15:00,Premier League,2018/2019,2-0,2018-12-15 15:00:00,0,2,home
979,England,Manchester City,Everton,15.12. 12:30,Premier League,2018/2019,3-1,2018-12-15 12:30:00,1,3,home
980,England,Everton,Watford,10.12. 20:00,Premier League,2018/2019,2-2,2018-12-10 20:00:00,2,2,draw
981,England,Newcastle,Wolves,09.12. 16:00,Premier League,2018/2019,1-2,2018-12-09 16:00:00,2,1,away
982,England,Leicester,Tottenham,08.12. 19:45,Premier League,2018/2019,0-2,2018-12-08 19:45:00,2,0,away
983,England,Chelsea,Manchester City,08.12. 17:30,Premier League,2018/2019,2-0,2018-12-08 17:30:00,0,2,home
984,England,Arsenal,Huddersfield,08.12. 15:00,Premier League,2018/2019,1-0,2018-12-08 15:00:00,0,1,home
985,England,Burnley,Brighton,08.12. 15:00,Premier League,2018/2019,1-0,2018-12-08 15:00:00,0,1,home
986,England,Cardiff,Southampton,08.12. 15:00,Premier League,2018/2019,1-0,2018-12-08 15:00:00,0,1,home
987,England,Manchester Utd,Fulham,08.12. 15:00,Premier League,2018/2019,4-1,2018-12-08 15:00:00,1,4,home
988,England,West Ham,Crystal Palace,08.12. 15:00,Premier League,2018/2019,3-2,2018-12-08 15:00:00,2,3,home
989,England,Bournemouth,Liverpool,08.12. 12:30,Premier League,2018/2019,0-4,2018-12-08 12:30:00,4,0,away
990,England,Manchester Utd,Arsenal,05.12. 20:00,Premier League,2018/2019,2-2,2018-12-05 20:00:00,2,2,draw
991,England,Tottenham,Southampton,05.12. 20:00,Premier League,2018/2019,3-1,2018-12-05 20:00:00,1,3,home
992,England,Burnley,Liverpool,05.12. 19:45,Premier League,2018/2019,1-3,2018-12-05 19:45:00,3,1,away
993,England,Everton,Newcastle,05.12. 19:45,Premier League,2018/2019,1-1,2018-12-05 19:45:00,1,1,draw
994,England,Fulham,Leicester,05.12. 19:45,Premier League,2018/2019,1-1,2018-12-05 19:45:00,1,1,draw
995,England,Wolves,Chelsea,05.12. 19:45,Premier League,2018/2019,2-1,2018-12-05 19:45:00,1,2,home
996,England,Watford,Manchester City,04.12. 20:00,Premier League,2018/2019,1-2,2018-12-04 20:00:00,2,1,away
997,England,Bournemouth,Huddersfield,04.12. 19:45,Premier League,2018/2019,2-1,2018-12-04 19:45:00,1,2,home
998,England,Brighton,Crystal Palace,04.12. 19:45,Premier League,2018/2019,3-1,2018-12-04 19:45:00,1,3,home
999,England,West Ham,Cardiff,04.12. 19:45,Premier League,2018/2019,3-1,2018-12-04 19:45:00,1,3,home
1000,England,Liverpool,Everton,02.12. 16:15,Premier League,2018/2019,1-0,2018-12-02 16:15:00,0,1,home
1001,England,Arsenal,Tottenham,02.12. 14:05,Premier League,2018/2019,4-2,2018-12-02 14:05:00,2,4,home
1002,England,Chelsea,Fulham,02.12. 12:00,Premier League,2018/2019,2-0,2018-12-02 12:00:00,0,2,home
1003,England,Southampton,Manchester Utd,01.12. 17:30,Premier League,2018/2019,2-2,2018-12-01 17:30:00,2,2,draw
1004,England,Crystal Palace,Burnley,01.12. 15:00,Premier League,2018/2019,2-0,2018-12-01 15:00:00,0,2,home
1005,England,Huddersfield,Brighton,01.12. 15:00,Premier League,2018/2019,1-2,2018-12-01 15:00:00,2,1,away
1006,England,Leicester,Watford,01.12. 15:00,Premier League,2018/2019,2-0,2018-12-01 15:00:00,0,2,home
1007,England,Manchester City,Bournemouth,01.12. 15:00,Premier League,2018/2019,3-1,2018-12-01 15:00:00,1,3,home
1008,England,Newcastle,West Ham,01.12. 15:00,Premier League,2018/2019,0-3,2018-12-01 15:00:00,3,0,away
1009,England,Cardiff,Wolves,30.11. 20:00,Premier League,2018/2019,2-1,2018-11-30 20:00:00,1,2,home
1010,England,Burnley,Newcastle,26.11. 20:30,Premier League,2018/2019,1-2,2018-11-26 20:30:00,2,1,away
1011,England,Wolves,Huddersfield,25.11. 16:00,Premier League,2018/2019,0-2,2018-11-25 16:00:00,2,0,away
1012,England,Bournemouth,Arsenal,25.11. 13:30,Premier League,2018/2019,1-2,2018-11-25 13:30:00,2,1,away
1013,England,Tottenham,Chelsea,24.11. 17:30,Premier League,2018/2019,3-1,2018-11-24 17:30:00,1,3,home
1014,England,Brighton,Leicester,24.11. 15:00,Premier League,2018/2019,1-1,2018-11-24 15:00:00,1,1,draw
1015,England,Everton,Cardiff,24.11. 15:00,Premier League,2018/2019,1-0,2018-11-24 15:00:00,0,1,home
1016,England,Fulham,Southampton,24.11. 15:00,Premier League,2018/2019,3-2,2018-11-24 15:00:00,2,3,home
1017,England,Manchester Utd,Crystal Palace,24.11. 15:00,Premier League,2018/2019,0-0,2018-11-24 15:00:00,0,0,draw
1018,England,Watford,Liverpool,24.11. 15:00,Premier League,2018/2019,0-3,2018-11-24 15:00:00,3,0,away
1019,England,West Ham,Manchester City,24.11. 15:00,Premier League,2018/2019,0-4,2018-11-24 15:00:00,4,0,away
1020,England,Arsenal,Wolves,11.11. 16:30,Premier League,2018/2019,1-1,2018-11-11 16:30:00,1,1,draw
1021,England,Manchester City,Manchester Utd,11.11. 16:30,Premier League,2018/2019,3-1,2018-11-11 16:30:00,1,3,home
1022,England,Chelsea,Everton,11.11. 14:15,Premier League,2018/2019,0-0,2018-11-11 14:15:00,0,0,draw
1023,England,Liverpool,Fulham,11.11. 12:00,Premier League,2018/2019,2-0,2018-11-11 12:00:00,0,2,home
1024,England,Crystal Palace,Tottenham,10.11. 17:30,Premier League,2018/2019,0-1,2018-11-10 17:30:00,1,0,away
1025,England,Huddersfield,West Ham,10.11. 15:00,Premier League,2018/2019,1-1,2018-11-10 15:00:00,1,1,draw
1026,England,Leicester,Burnley,10.11. 15:00,Premier League,2018/2019,0-0,2018-11-10 15:00:00,0,0,draw
1027,England,Newcastle,Bournemouth,10.11. 15:00,Premier League,2018/2019,2-1,2018-11-10 15:00:00,1,2,home
1028,England,Southampton,Watford,10.11. 15:00,Premier League,2018/2019,1-1,2018-11-10 15:00:00,1,1,draw
1029,England,Cardiff,Brighton,10.11. 12:30,Premier League,2018/2019,2-1,2018-11-10 12:30:00,1,2,home
1030,England,Huddersfield,Fulham,05.11. 20:00,Premier League,2018/2019,1-0,2018-11-05 20:00:00,0,1,home
1031,England,Chelsea,Crystal Palace,04.11. 16:00,Premier League,2018/2019,3-1,2018-11-04 16:00:00,1,3,home
1032,England,Manchester City,Southampton,04.11. 15:00,Premier League,2018/2019,6-1,2018-11-04 15:00:00,1,6,home
