index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
274,England,Arsenal,Tottenham,06.11. 12:00,Premier League,2016/2017,1-1,2016-11-06 12:00:00,1,1,draw
275,England,Chelsea,Everton,05.11. 17:30,Premier League,2016/2017,5-0,2016-11-05 17:30:00,0,5,home
276,England,Bournemouth,Sunderland,05.11. 15:00,Premier League,2016/2017,1-2,2016-11-05 15:00:00,2,1,away
277,England,Burnley,Crystal Palace,05.11. 15:00,Premier League,2016/2017,3-2,2016-11-05 15:00:00,2,3,home
278,England,Manchester City,Middlesbrough,05.11. 15:00,Premier League,2016/2017,1-1,2016-11-05 15:00:00,1,1,draw
279,England,West Ham,Stoke,05.11. 15:00,Premier League,2016/2017,1-1,2016-11-05 15:00:00,1,1,draw
280,England,Stoke,Swansea,31.10. 20:00,Premier League,2016/2017,3-1,2016-10-31 20:00:00,1,3,home
281,England,Southampton,Chelsea,30.10. 16:00,Premier League,2016/2017,0-2,2016-10-30 16:00:00,2,0,away
282,England,Everton,West Ham,30.10. 13:30,Premier League,2016/2017,2-0,2016-10-30 13:30:00,0,2,home
283,England,Crystal Palace,Liverpool,29.10. 16:30,Premier League,2016/2017,2-4,2016-10-29 16:30:00,4,2,away
284,England,Manchester Utd,Burnley,29.10. 14:00,Premier League,2016/2017,0-0,2016-10-29 14:00:00,0,0,draw
285,England,Middlesbrough,Bournemouth,29.10. 14:00,Premier League,2016/2017,2-0,2016-10-29 14:00:00,0,2,home
286,England,Tottenham,Leicester,29.10. 14:00,Premier League,2016/2017,1-1,2016-10-29 14:00:00,1,1,draw
287,England,Watford,Hull,29.10. 14:00,Premier League,2016/2017,1-0,2016-10-29 14:00:00,0,1,home
288,England,West Brom,Manchester City,29.10. 14:00,Premier League,2016/2017,0-4,2016-10-29 14:00:00,4,0,away
289,England,Sunderland,Arsenal,29.10. 11:30,Premier League,2016/2017,1-4,2016-10-29 11:30:00,4,1,away
290,England,Chelsea,Manchester Utd,23.10. 15:00,Premier League,2016/2017,4-0,2016-10-23 15:00:00,0,4,home
291,England,Manchester City,Southampton,23.10. 12:30,Premier League,2016/2017,1-1,2016-10-23 12:30:00,1,1,draw
292,England,Liverpool,West Brom,22.10. 16:30,Premier League,2016/2017,2-1,2016-10-22 16:30:00,1,2,home
293,England,Arsenal,Middlesbrough,22.10. 14:00,Premier League,2016/2017,0-0,2016-10-22 14:00:00,0,0,draw
294,England,Burnley,Everton,22.10. 14:00,Premier League,2016/2017,2-1,2016-10-22 14:00:00,1,2,home
295,England,Hull,Stoke,22.10. 14:00,Premier League,2016/2017,0-2,2016-10-22 14:00:00,2,0,away
296,England,Leicester,Crystal Palace,22.10. 14:00,Premier League,2016/2017,3-1,2016-10-22 14:00:00,1,3,home
297,England,Swansea,Watford,22.10. 14:00,Premier League,2016/2017,0-0,2016-10-22 14:00:00,0,0,draw
298,England,West Ham,Sunderland,22.10. 14:00,Premier League,2016/2017,1-0,2016-10-22 14:00:00,0,1,home
299,England,Bournemouth,Tottenham,22.10. 11:30,Premier League,2016/2017,0-0,2016-10-22 11:30:00,0,0,draw
300,England,Liverpool,Manchester Utd,17.10. 19:00,Premier League,2016/2017,0-0,2016-10-17 19:00:00,0,0,draw
301,England,Southampton,Burnley,16.10. 15:00,Premier League,2016/2017,3-1,2016-10-16 15:00:00,1,3,home
302,England,Middlesbrough,Watford,16.10. 12:30,Premier League,2016/2017,0-1,2016-10-16 12:30:00,1,0,away
303,England,Crystal Palace,West Ham,15.10. 16:30,Premier League,2016/2017,0-1,2016-10-15 16:30:00,1,0,away
304,England,Arsenal,Swansea,15.10. 14:00,Premier League,2016/2017,3-2,2016-10-15 14:00:00,2,3,home
305,England,Bournemouth,Hull,15.10. 14:00,Premier League,2016/2017,6-1,2016-10-15 14:00:00,1,6,home
306,England,Manchester City,Everton,15.10. 14:00,Premier League,2016/2017,1-1,2016-10-15 14:00:00,1,1,draw
307,England,Stoke,Sunderland,15.10. 14:00,Premier League,2016/2017,2-0,2016-10-15 14:00:00,0,2,home
308,England,West Brom,Tottenham,15.10. 14:00,Premier League,2016/2017,1-1,2016-10-15 14:00:00,1,1,draw
309,England,Chelsea,Leicester,15.10. 11:30,Premier League,2016/2017,3-0,2016-10-15 11:30:00,0,3,home
310,England,Burnley,Arsenal,02.10. 15:30,Premier League,2016/2017,0-1,2016-10-02 15:30:00,1,0,away
311,England,Leicester,Southampton,02.10. 13:15,Premier League,2016/2017,0-0,2016-10-02 13:15:00,0,0,draw
312,England,Tottenham,Manchester City,02.10. 13:15,Premier League,2016/2017,2-0,2016-10-02 13:15:00,0,2,home
313,England,Manchester Utd,Stoke,02.10. 11:00,Premier League,2016/2017,1-1,2016-10-02 11:00:00,1,1,draw
314,England,Hull,Chelsea,01.10. 14:00,Premier League,2016/2017,0-2,2016-10-01 14:00:00,2,0,away
315,England,Sunderland,West Brom,01.10. 14:00,Premier League,2016/2017,1-1,2016-10-01 14:00:00,1,1,draw
316,England,Watford,Bournemouth,01.10. 14:00,Premier League,2016/2017,2-2,2016-10-01 14:00:00,2,2,draw
317,England,West Ham,Middlesbrough,01.10. 14:00,Premier League,2016/2017,1-1,2016-10-01 14:00:00,1,1,draw
318,England,Swansea,Liverpool,01.10. 11:30,Premier League,2016/2017,1-2,2016-10-01 11:30:00,2,1,away
